Alpha,SA7035_without_flap, , Alpha,SA7035_-10_flap, , Alpha,SA7035_-20_flap, , Alpha,SA7035_10_flap, , Alpha,SA7035_-10_flap, , 
          5.1,     0.8481454, ,           5.5,     0.4811705, ,           5.8,     0.1611529, ,           5.8,      1.321928, ,             5,      1.474141, , 
          5.2,     0.8574733, ,           5.6,     0.4919297, ,           5.9,     0.1717537, ,           5.9,      1.327409, ,           5.1,      1.479587, , 
          5.3,     0.8678381, ,           5.7,     0.5025682, ,             6,     0.1821686, ,             6,      1.334685, ,           5.3,      1.491466, , 
          5.4,      0.877798, ,           5.8,     0.5130937, ,           6.1,     0.1925782, ,           6.1,      1.339726, ,           5.4,      1.497683, , 
          5.5,     0.8873336, ,           5.9,     0.5235485, ,           6.2,     0.2033214, ,           6.2,      1.347046, ,           5.5,      1.503359, , 
          5.6,     0.8965822, ,             6,     0.5340735, ,           6.3,     0.2144988, ,           6.3,      1.352521, ,           5.7,      1.514066, , 
          5.7,     0.9069013, ,           6.1,     0.5447967, ,           6.4,     0.2255957, ,           6.4,      1.358592, ,           5.8,      1.519399, , 
          5.8,     0.9166718, ,           6.2,     0.5554046, ,           6.5,     0.2365622, ,           6.5,      1.364701, ,           5.9,       1.52572, , 
          5.9,      0.925845, ,           6.3,     0.5659045, ,           6.6,     0.2473686, ,           6.6,       1.37043, ,             6,       1.53084, , 
            6,     0.9352544, ,           6.4,     0.5763474, ,           6.7,     0.2580664, ,           6.7,      1.376662, ,           6.1,      1.535632, , 
          6.1,     0.9452336, ,           6.5,     0.5869385, ,           6.8,     0.2688283, ,           6.8,      1.383087, ,           6.2,      1.536718, , 
          6.2,     0.9545455, ,           6.6,     0.5976602, ,           6.9,     0.2799793, ,           6.9,      1.388655, ,           6.3,      1.538903, , 
          6.3,     0.9631462, ,           6.7,     0.6081932, ,             7,     0.2911198, ,             7,      1.394759, ,           6.4,      1.537232, , 
          6.4,     0.9732477, ,           6.8,     0.6186358, ,           7.1,     0.3021519, ,           7.1,      1.400336, ,           6.5,      1.541494, , 
          6.5,     0.9826167, ,           6.9,     0.6290532, ,           7.2,     0.3130837, ,           7.2,       1.40486, ,           6.6,       1.54483, , 
          6.6,     0.9911637, ,             7,     0.6396934, ,           7.3,     0.3240011, ,           7.3,       1.41109, ,           6.7,      1.547495, , 
          6.7,      1.000776, ,           7.1,     0.6502538, ,           7.4,      0.335077, ,           7.4,      1.415814, ,           6.8,      1.549789, , 
          6.8,      1.010269, ,           7.2,     0.6607307, ,           7.5,     0.3463473, ,           7.5,      1.419974, ,           6.9,      1.551756, , 
          6.9,      1.018873, ,           7.3,     0.6711367, ,           7.6,     0.3575236, ,           7.6,      1.422523, ,             7,      1.553327, , 
            7,      1.027781, ,           7.4,     0.6816153, ,           7.7,     0.3686222, ,           7.7,       1.42368, ,           7.1,      1.554409, , 
          7.1,      1.037311, ,           7.5,     0.6921559, ,           7.8,      0.379693, ,           7.8,      1.423575, ,           7.2,      1.554772, , 
          7.2,      1.045876, ,           7.6,     0.7025843, ,           7.9,     0.3909153, ,           7.9,      1.421355, ,           7.3,      1.554792, , 
          7.3,      1.054233, ,           7.7,     0.7129052, ,             8,     0.4023126, ,             8,      1.424866, ,           7.4,      1.554809, , 
          7.4,      1.063931, ,           7.8,     0.7232418, , , , , , , ,           7.5,      1.554853, , 
          7.5,      1.072409, ,           7.9,     0.7337056, , , , , , , ,           7.6,       1.55495, , 
          7.6,      1.080306, ,             8,     0.7440412, , , , , , , ,           7.7,      1.555064, , 
          7.7,      1.089835, , , , , , , , , , ,           7.8,      1.555227, , 
          7.8,      1.097907, , , , , , , , , , ,           7.9,      1.555324, , 
          7.9,      1.105964, , , , , , , , , , ,             8,      1.555322, , 
            8,      1.114605, , , , , , , , , , , , , , 

